Delta	P		PP		PcP		PKPab		PKPbc		PKPdf		S		SS		ScS		SKSac		SKSdf	
	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m		m   	s
105	14	9.27	18	29.53	N	N	N	N	N	N	N	N	26	4.56	33	24.58	N	N	24	N	N	N
106	14	13.72	18	36.93	N	N	N	N	N	N	N	N	26	12.90	33	38.24	N	N	24	N	N	N
107	14	18.16	18	44.29	N	N	N	N	N	N	N	N	26	21.24	33	51.84	N	N	24	N	N	N
108	14	22.61	18	51.62	N	N	N	N	N	N	N	N	26	29.58	34	5.40	N	N	25	N	N	N
109	14	27.05	18	58.91	N	N	N	N	N	N	N	N	26	37.92	34	18.90	N	N	25	N	N	N
110	14	31.50	19	6.17	N	N	N	N	N	N	N	N	26	46.26	34	32.34	N	N	25	12.34	25	46.67
111	14	35.95	19	13.38	N	N	N	N	N	N	N	N	26	54.60	34	45.74	N	N	25	16.47	25	48.59
112	14	40.39	19	20.56	N	N	N	N	N	N	N	N	27	2.94	34	59.08	N	N	25	20.53	25	50.51
113	14	44.84	19	27.70	N	N	N	N	N	N	N	N	27	11.28	35	12.36	N	N	25	24.52	25	52.43
114	14	49.28	19	34.81	N	N	N	N	N	N	N	N	27	19.62	35	25.59	N	N	25	28.44	25	54.35
115	14	53.73	19	41.88	N	N	N	N	N	N	N	N	27	27.97	35	38.76	N	N	25	32.30	25	56.26
116	14	58.17	19	48.91	N	N	N	N	N	N	18	44.84	27	36.31	35	51.87	N	N	25	36.08	25	58.18
117	15	2.62	19	55.91	N	N	N	N	N	N	18	46.76	27	44.65	36	4.93	N	N	25	39.80	26	0.09
118	15	7.06	20	2.87	N	N	N	N	N	N	18	48.68	27	52.99	36	17.93	N	N	25	43.44	26	1.99
119	15	11.51	20	9.79	N	N	N	N	N	N	18	50.61	28	1.33	36	30.88	N	N	25	47.02	26	3.90
120	15	15.96	20	16.68	N	N	N	N	N	N	18	52.53	28	9.67	36	43.77	N	N	25	50.54	26	5.80
121	15	20.40	20	23.53	N	N	N	N	N	N	18	54.45	28	18.01	36	56.61	N	N	25	53.99	26	7.70
122	15	24.85	20	30.35	N	N	N	N	N	N	18	56.37	28	26.35	37	9.39	N	N	25	57.37	26	9.59
123	15	29.29	20	37.12	N	N	N	N	N	N	18	58.29	28	34.69	37	22.12	N	N	26	0.68	26	11.47
124	15	33.74	20	43.86	N	N	N	N	N	N	19	0.21	28	43.03	37	34.79	N	N	26	3.93	26	13.35
125	N	N	20	N	N	N	N	N	N	N	19	2.13	N	N	37	N	N	N	26	7.11	26	15.23
126	N	N	20	N	N	N	N	N	N	N	19	4.04	N	N	37	N	N	N	26	10.23	26	17.09
127	N	N	21	N	N	N	N	N	N	N	19	5.95	N	N	38	N	N	N	26	13.28	26	18.95
128	N	N	21	N	N	N	N	N	N	N	19	7.86	N	N	38	N	N	N	26	16.26	26	20.80
129	N	N	21	N	N	N	N	N	N	N	19	9.76	N	N	38	N	N	N	26	19.18	26	22.64
